dataset,domain,method,cert_rate_%,mean_mu_hat,mean_lower_bound,mean_n_eff,total_runtime_sec,n_cohorts
adult,tabular,ravel,1.7,0.75,0.21,58.45,860.6,49
ag_news,text,ravel,25.0,0.25,0.25,1481.21,3561.52,4
amazon,text,ravel,72.22,0.89,0.86,1017.19,514.12,3
bank,tabular,ravel,0.0,0.66,0.3,57.49,162.7,10
civil_comments,text,ravel,8.33,1.0,0.57,21.0,368.33,2
communities_crime,tabular,ravel,5.56,0.58,0.74,21.39,12.26,9
compas,tabular,ravel,3.95,0.92,0.41,17.68,32705.53,38
dbpedia,text,ravel,28.57,0.31,0.49,177.13,5537.54,14
diabetes,tabular,ravel,0.0,0.72,0.0,8.2,2.07,4
german_credit,tabular,ravel,0.0,0.56,0.0,4.44,11.0,14
heart_disease,tabular,ravel,0.0,0.74,0.0,3.82,4.51,8
imdb,text,ravel,60.0,0.6,0.59,538.37,3340.33,10
imdb_genre,text,ravel,50.0,0.87,0.78,255.46,1502.82,8
mushroom,tabular,ravel,44.44,0.87,0.66,64.41,8.65,6
online_shoppers,tabular,ravel,0.0,0.72,0.23,25.1,22.5,10
sst2,text,ravel,50.0,0.5,0.5,1006.6,2238.37,8
student_performance,tabular,ravel,6.06,0.96,0.41,15.72,6.88,11
twitter,text,ravel,18.33,0.76,0.61,143.89,1898.49,10
wine_quality,tabular,ravel,33.33,0.57,0.59,150.64,8.02,6
yelp,text,ravel,50.0,0.84,0.77,424.53,2962.68,10
