dataset,domain,method,status,runtime_sec,n_cohort_tau_pairs
bace,molecular,bbse,OK,0.06,630
bbbp,molecular,bbse,OK,0.06,635
clintox,molecular,bbse,OK,0.03,550
delaney,molecular,bbse,OK,0.04,100
esol,molecular,bbse,OK,0.04,30
freesolv,molecular,bbse,OK,0.02,15
hiv,molecular,bbse,OK,0.38,100
lipophilicity,molecular,bbse,OK,0.15,2295
molhiv,molecular,bbse,OK,2.84,11560
muv,molecular,bbse,OK,20.23,38180
qm7,molecular,bbse,OK,0.09,100
sampl,molecular,bbse,OK,0.03,100
sider,molecular,bbse,OK,0.06,675
tox21,molecular,bbse,OK,0.06,280
toxcast,molecular,bbse,OK,0.08,420
adult,tabular,bbse,OK,0.28,245
bank,tabular,bbse,OK,0.09,50
communities_crime,tabular,bbse,OK,0.04,45
compas,tabular,bbse,OK,1.42,190
credit_default,tabular,bbse,OK,0.06,80
diabetes,tabular,bbse,OK,0.01,20
german_credit,tabular,bbse,OK,0.03,70
heart_disease,tabular,bbse,OK,0.01,40
mushroom,tabular,bbse,OK,0.11,30
online_shoppers,tabular,bbse,OK,0.02,50
student_performance,tabular,bbse,OK,0.03,55
wine_quality,tabular,bbse,OK,0.02,30
ag_news,text,bbse,OK,5.57,20
amazon,text,bbse,OK,0.02,15
civil_comments,text,bbse,OK,0.03,25
dbpedia,text,bbse,OK,1.25,70
hate_speech,text,bbse,OK,0.14,25
imdb,text,bbse,OK,1.35,50
imdb_genre,text,bbse,OK,0.51,40
rotten_tomatoes,text,bbse,OK,0.11,25
sst2,text,bbse,OK,2.67,40
twitter,text,bbse,OK,0.03,50
yelp,text,bbse,OK,1.09,50
bace,molecular,cvplus,OK,0.39,630
bbbp,molecular,cvplus,OK,0.34,635
clintox,molecular,cvplus,OK,0.31,550
delaney,molecular,cvplus,OK,0.4,100
esol,molecular,cvplus,OK,0.16,30
freesolv,molecular,cvplus,OK,0.15,15
hiv,molecular,cvplus,OK,5.07,100
lipophilicity,molecular,cvplus,OK,0.76,2295
molhiv,molecular,cvplus,OK,9.16,11560
muv,molecular,cvplus,OK,44.35,38180
qm7,molecular,cvplus,OK,0.97,100
sampl,molecular,cvplus,OK,0.27,100
sider,molecular,cvplus,OK,0.33,675
tox21,molecular,cvplus,OK,0.54,280
toxcast,molecular,cvplus,OK,0.74,420
adult,tabular,cvplus,OK,1.85,245
bank,tabular,cvplus,OK,0.58,50
communities_crime,tabular,cvplus,OK,0.44,45
compas,tabular,cvplus,OK,47.63,190
credit_default,tabular,cvplus,OK,0.19,80
diabetes,tabular,cvplus,OK,0.03,20
german_credit,tabular,cvplus,OK,0.15,70
heart_disease,tabular,cvplus,OK,0.03,40
mushroom,tabular,cvplus,OK,0.64,30
online_shoppers,tabular,cvplus,OK,0.1,50
student_performance,tabular,cvplus,OK,0.19,55
wine_quality,tabular,cvplus,OK,0.1,30
ag_news,text,cvplus,OK,67.5,20
amazon,text,cvplus,OK,0.08,15
civil_comments,text,cvplus,OK,0.07,25
dbpedia,text,cvplus,OK,18.32,70
hate_speech,text,cvplus,OK,4.24,25
imdb,text,cvplus,OK,22.49,50
imdb_genre,text,cvplus,OK,6.0,40
rotten_tomatoes,text,cvplus,OK,2.91,25
sst2,text,cvplus,OK,14.38,40
twitter,text,cvplus,OK,0.08,50
yelp,text,cvplus,OK,25.75,50
bace,molecular,group_dro,OK,1.3,630
bbbp,molecular,group_dro,OK,1.81,635
clintox,molecular,group_dro,OK,1.52,550
delaney,molecular,group_dro,OK,0.15,100
esol,molecular,group_dro,OK,0.08,30
freesolv,molecular,group_dro,OK,0.06,15
hiv,molecular,group_dro,NOT_RUN,0.0,0
lipophilicity,molecular,group_dro,OK,7.49,2295
molhiv,molecular,group_dro,NOT_RUN,0.0,0
muv,molecular,group_dro,NOT_RUN,0.0,0
qm7,molecular,group_dro,OK,0.38,100
sampl,molecular,group_dro,OK,0.14,100
sider,molecular,group_dro,OK,1.39,675
tox21,molecular,group_dro,OK,1.09,280
toxcast,molecular,group_dro,OK,1.66,420
adult,tabular,group_dro,NOT_RUN,0.0,0
bank,tabular,group_dro,NOT_RUN,0.0,0
communities_crime,tabular,group_dro,OK,0.11,45
compas,tabular,group_dro,OK,1.23,190
credit_default,tabular,group_dro,NOT_RUN,0.0,0
diabetes,tabular,group_dro,OK,0.07,20
german_credit,tabular,group_dro,OK,0.23,70
heart_disease,tabular,group_dro,OK,0.13,40
mushroom,tabular,group_dro,OK,0.12,30
online_shoppers,tabular,group_dro,OK,0.19,50
student_performance,tabular,group_dro,OK,0.18,55
wine_quality,tabular,group_dro,OK,0.14,30
ag_news,text,group_dro,NOT_RUN,0.0,0
amazon,text,group_dro,NOT_RUN,0.0,0
civil_comments,text,group_dro,NOT_RUN,0.0,0
dbpedia,text,group_dro,NOT_RUN,0.0,0
hate_speech,text,group_dro,OK,0.26,25
imdb,text,group_dro,NOT_RUN,0.0,0
imdb_genre,text,group_dro,OK,0.43,40
rotten_tomatoes,text,group_dro,OK,0.31,25
sst2,text,group_dro,NOT_RUN,0.0,0
twitter,text,group_dro,NOT_RUN,0.0,0
yelp,text,group_dro,NOT_RUN,0.0,0
bace,molecular,kliep,OK,0.26,630
bbbp,molecular,kliep,OK,0.28,635
clintox,molecular,kliep,OK,0.2,550
delaney,molecular,kliep,OK,0.21,100
esol,molecular,kliep,OK,0.12,30
freesolv,molecular,kliep,OK,0.19,15
hiv,molecular,kliep,OK,0.89,100
lipophilicity,molecular,kliep,OK,0.32,2295
molhiv,molecular,kliep,OK,2.82,11560
muv,molecular,kliep,OK,16.92,38180
qm7,molecular,kliep,OK,0.5,100
sampl,molecular,kliep,OK,0.25,100
sider,molecular,kliep,OK,0.13,675
tox21,molecular,kliep,OK,0.23,280
toxcast,molecular,kliep,OK,0.29,420
adult,tabular,kliep,OK,0.88,245
bank,tabular,kliep,OK,0.44,50
communities_crime,tabular,kliep,OK,0.21,45
compas,tabular,kliep,OK,34.95,190
credit_default,tabular,kliep,OK,0.39,80
diabetes,tabular,kliep,OK,0.19,20
german_credit,tabular,kliep,OK,0.21,70
heart_disease,tabular,kliep,OK,0.03,40
mushroom,tabular,kliep,OK,0.19,30
online_shoppers,tabular,kliep,OK,0.35,50
student_performance,tabular,kliep,OK,0.17,55
wine_quality,tabular,kliep,OK,0.24,30
ag_news,text,kliep,OK,14.89,20
amazon,text,kliep,OK,0.09,15
civil_comments,text,kliep,OK,0.07,25
dbpedia,text,kliep,OK,8.58,70
hate_speech,text,kliep,OK,4.91,25
imdb,text,kliep,OK,7.66,50
imdb_genre,text,kliep,OK,5.21,40
rotten_tomatoes,text,kliep,OK,4.44,25
sst2,text,kliep,OK,7.27,40
twitter,text,kliep,OK,0.1,50
yelp,text,kliep,OK,8.54,50
bace,molecular,kmm,OK,3.82,630
bbbp,molecular,kmm,OK,10.76,635
clintox,molecular,kmm,OK,3.4,550
delaney,molecular,kmm,OK,0.81,100
esol,molecular,kmm,OK,2.12,30
freesolv,molecular,kmm,OK,0.35,15
hiv,molecular,kmm,NOT_RUN,0.0,0
lipophilicity,molecular,kmm,OK,100.74,2295
molhiv,molecular,kmm,NOT_RUN,0.0,0
muv,molecular,kmm,NOT_RUN,0.0,0
qm7,molecular,kmm,NOT_RUN,0.0,0
sampl,molecular,kmm,OK,0.19,100
sider,molecular,kmm,OK,2.74,675
tox21,molecular,kmm,NOT_RUN,0.0,0
toxcast,molecular,kmm,NOT_RUN,0.0,0
adult,tabular,kmm,NOT_RUN,0.0,0
bank,tabular,kmm,NOT_RUN,0.0,0
communities_crime,tabular,kmm,OK,6.94,45
compas,tabular,kmm,NOT_RUN,0.0,0
credit_default,tabular,kmm,NOT_RUN,0.0,0
diabetes,tabular,kmm,OK,0.35,20
german_credit,tabular,kmm,OK,0.94,70
heart_disease,tabular,kmm,OK,0.03,40
mushroom,tabular,kmm,NOT_RUN,0.0,0
online_shoppers,tabular,kmm,NOT_RUN,0.0,0
student_performance,tabular,kmm,OK,1.18,55
wine_quality,tabular,kmm,NOT_RUN,0.0,0
ag_news,text,kmm,NOT_RUN,0.0,0
amazon,text,kmm,NOT_RUN,0.0,0
civil_comments,text,kmm,NOT_RUN,0.0,0
dbpedia,text,kmm,NOT_RUN,0.0,0
hate_speech,text,kmm,NOT_RUN,0.0,0
imdb,text,kmm,NOT_RUN,0.0,0
imdb_genre,text,kmm,NOT_RUN,0.0,0
rotten_tomatoes,text,kmm,NOT_RUN,0.0,0
sst2,text,kmm,NOT_RUN,0.0,0
twitter,text,kmm,NOT_RUN,0.0,0
yelp,text,kmm,NOT_RUN,0.0,0
bace,molecular,ravel,OK,0.38,630
bbbp,molecular,ravel,OK,0.45,635
clintox,molecular,ravel,OK,0.28,550
